rowid,AuthorGrp,PaperId,Year,ClassifierFamily,DataSetFamily,MetricFamily,MCC
547,20,118,2008,DecTree,NASA,Static,0.297227556
548,20,118,2008,SVM,NASA,Static,0.30302476
549,20,118,2008,Search,NASA,Static,0.320176102
550,20,118,2008,DecTree,NASA,Static,0.337677926
551,20,118,2008,DecTree,NASA,Static,0.340223659
552,20,118,2008,Search,NASA,Static,0.357421644
553,20,118,2008,DecTree,NASA,Static,0.362264306
554,20,118,2008,CBR,NASA,Static,0.363399556
555,20,118,2008,CBR,NASA,Static,0.363399556
556,20,118,2008,Regression,NASA,Static,0.406232153
557,20,118,2008,DecTree,NASA,Static,0.419004483
558,20,118,2008,Search,NASA,Static,0.475301445
559,20,118,2008,DecTree,NASA,Static,0.482993591
560,20,118,2008,DecTree,NASA,Static,0.486829358
561,20,118,2008,SVM,NASA,Static,0.506134142
562,20,118,2008,Regression,NASA,Static,0.579795197
563,21,171,2009,ANN,ECLIP,Static,0.325350042
564,21,171,2009,CBR,ECLIP,Static,0.327937193
565,21,171,2009,DecTree,ECLIP,Static,0.33327782
566,21,171,2009,Regression,ECLIP,Static,0.336570138
567,21,171,2009,Bayes,ECLIP,Static,0.339188051
568,21,171,2009,DecTree,ECLIP,Static,0.345707757
569,21,171,2009,ANN,NASA,Static,0.368881976
570,21,171,2009,ANN,ECLIP,Static,0.368949316
571,21,171,2009,Regression,NASA,Static,0.375127187
572,21,171,2009,CBR,ECLIP,Static,0.381249561
573,21,171,2009,Regression,ECLIP,Static,0.397618998
574,21,171,2009,Bayes,ECLIP,Static,0.397918819
575,21,171,2009,Bayes,NASA,Static,0.414854013
576,21,171,2009,CBR,NASA,Static,0.430329661
577,21,171,2009,DecTree,NASA,Static,0.447911826
578,22,116,2007,Regression,LibMan,Static,0.17037065
579,22,116,2007,Regression,LibMan,Static,0.236766474
580,22,116,2007,Regression,LibMan,Static,0.253313126
581,22,116,2007,Regression,LibMan,Static,0.265207208
582,22,116,2007,Regression,LibMan,Static,0.272481177
583,22,116,2007,ANN,LibMan,Static,0.406136505
584,22,116,2007,ANN,LibMan,Static,0.506347077
585,22,116,2007,ANN,LibMan,Static,0.597179283
586,22,116,2007,Regression,LibMan,Static,0.706933383
587,22,116,2007,ANN,LibMan,Static,0.889301824
588,22,116,2007,ANN,LibMan,Static,0.907208715
589,22,116,2007,ANN,LibMan,Static,0.988763245
590,23,210,2009,Bayes,POSTGRES,DeltaOtherProcessStatic,0.621534712
591,23,210,2009,Bayes,GFORGE,DeltaOtherProcessStatic,0.658151545
592,23,210,2009,Bayes,GALM,DeltaOtherProcessStatic,0.706113468
593,23,210,2009,Bayes,PONE,DeltaOtherProcessStatic,0.706620725
594,23,210,2009,Bayes,SVN,DeltaOtherProcessStatic,0.707083114
595,23,210,2009,Bayes,APACHE,DeltaOtherProcessStatic,0.714227875
596,23,210,2009,Bayes,COLUMBA,DeltaOtherProcessStatic,0.760693905
597,23,210,2009,Bayes,JEDIT,DeltaOtherProcessStatic,0.788888721
598,23,210,2009,Bayes,MOZ,DeltaOtherProcessStatic,0.809618454
599,23,210,2009,Bayes,JCP,DeltaOtherProcessStatic,0.850740731
600,23,210,2009,Bayes,ECLIP,DeltaOtherProcessStatic,0.869998976
